geneid,CAT1,CAT2,CAT4,CAT5,CAT16,CAT36,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
mcph1,0.0,0.884473116,0.165863976,0.907050406,0.289243542,-0.252834909,1.447502649,0.0,0.0,0.780730525,1.727955103,0.0,1.021274654,0.158270725,-0.173051241,-0.12279835,-0.068016733,0.232085788,0.16840753,0.0,-0.374124447,0.0,-0.553608163,-0.810372971,0.0,0.0,-0.212080021,-0.354672115,0.844647826,0.0
mcrs1,0.0,0.466748348,1.078651844,0.907095524,0.458338429,0.935214908,-0.425123746,0.0,0.0,0.167692722,-0.084181461,0.0,-0.119105309,0.084452011,-0.822358543,0.217519541,0.454618327,-0.500233489,0.632707196,0.0,-0.827444565,0.0,0.130890823,0.0,0.497977819,0.0,0.197103958,0.344822256,-0.255645651,-1.224464718
mctp2,0.0,0.091466228,0.0,1.602560519,0.0,0.0,2.193323337,0.0,0.0,0.153469778,1.217096526,0.0,0.463122602,0.252862462,0.263134248,0.691950217,0.461942826,-0.178920467,0.572184159,0.789218796,-0.723540863,1.380855749,-0.00499615,0.438220481,0.115643738,0.0,0.067746062,-0.064770126,1.117332993,1.125641975
mcts1,-2.01657117,1.074780966,0.940323657,0.338967075,0.674101552,1.053797655,-0.372752494,-0.198070108,-0.141898697,-0.035013528,0.221247026,0.771692052,-0.079224704,0.0,0.0,0.371208195,-2.399700901,-2.93285025,-2.35291382,-0.210721613,0.0,0.157968339,-0.094610736,1.77351386,-0.117128916,-0.314342092,-2.042747882,-1.301846255,-1.138955418,-0.562000038
mcu,-0.339335769,-0.330577532,-0.004788805,0.693674953,0.765008298,0.311894134,0.861740349,0.0,0.0,0.017245657,0.502625019,0.100265115,-0.298857258,0.0,0.274083581,0.967027278,0.817478529,0.605566388,1.102654256,0.0,1.114586527,0.342028727,1.007480067,0.0,0.267471659,-0.229941396,0.057961364,0.663285796,0.647486232,0.299777405
mcur1,0.0,-0.725222931,0.0,0.43083271,0.746980973,0.720791906,-0.741737437,0.0,0.0,-0.009906192,-0.537509406,0.307222167,0.045344494,0.0,0.580301606,0.731556076,0.474859753,0.668374936,0.647713825,-0.180517529,0.115397945,0.0,0.91962628,-0.588917849,0.380998516,0.0,0.726763073,0.473935276,0.896794118,1.293206004
mdc1,0.063688414,-0.170485862,0.0,0.0,3.191273068,-0.668313571,0.248513745,0.0,0.120921789,0.083627148,-0.460038112,-0.583492017,0.550955335,0.230607155,-0.413385664,-0.408093198,-0.21113317,-0.38361476,-0.195948899,-2.39271453,-0.544252925,-1.639760111,-0.853936251,-0.394174157,-0.408953473,0.0,0.337919503,0.0,0.0,0.0
mdh1,0.177782451,1.42968396,0.386728129,0.291691513,0.753983013,1.155960058,-1.384935614,-1.519119094,0.0,-0.284558594,-1.528947941,0.044404086,-0.717420328,0.696697594,0.041540935,0.494384564,0.500250561,0.205394385,0.908689781,0.166862944,-0.097065176,0.427332035,0.393777172,0.932093286,0.411264848,0.189607247,-0.033957233,-0.961028517,-1.656476874,-0.985414027
mdh2,-1.070360233,1.040235815,0.709424272,0.597555411,0.648074605,1.108465544,-1.324332058,0.0,-1.235819285,-0.287522887,-0.80168452,0.301763523,-0.678266595,-1.449458626,-1.280730814,-0.533282001,-0.202127752,-1.116703753,-2.661526205,0.689482724,0.0,0.340626344,-0.837555673,0.25757774,0.104333057,0.157857487,-1.360201377,-0.381530781,0.906508768,-0.770221869
mdm1,0.0,-0.93156006,0.0,0.0,0.440501376,0.0,0.828159242,0.0,0.0,0.124578432,0.818621763,0.0,1.089674898,0.124931969,1.723788082,0.602008451,1.022371791,0.839248697,0.38239819,0.0,0.307076727,0.0,1.854217556,2.184303117,0.0,0.0,0.278168166,-0.710106689,0.38011565,0.0
mdm2,0.0,-1.003671696,-4.58436753,-1.079800992,-1.565206136,-2.516824004,-0.721632321,0.0,-1.855696933,-0.137931952,-0.228727746,0.0,-0.11779929,0.840886736,0.996303562,1.734631831,1.153440537,0.53001771,1.335640318,0.0,2.515382181,0.0,1.786736969,1.694967443,0.0,0.0,0.013857176,0.011096427,-0.719058251,0.214202778
mdm4,0.0,-1.036606245,-1.583818743,0.0,-0.572991462,-3.330653563,0.678169429,0.0,0.0,-0.227469667,0.450259808,0.012917824,0.996937129,0.047649999,0.793138497,1.172870761,1.011895526,0.400954408,0.335868032,0.641540783,1.234813707,0.634918032,0.797796589,0.0,0.924087609,0.0,0.721959773,-0.155446625,0.479755347,-1.549930995
mdn1,0.272520354,-0.617108073,1.608391065,-0.877966703,0.230088707,-1.834357035,0.309454086,0.901196599,-0.218285526,-0.094634025,0.346387058,0.069134216,-0.064559236,0.0,0.0,-1.230301567,-0.325747252,-2.064826804,-1.311307785,-0.461285569,0.0,0.0,-0.018853278,1.271637226,-0.893703421,0.0,1.354671864,-1.25290138,0.0,0.0
me1,-0.033459869,0.674188279,-0.032394619,-0.827281758,0.068201907,-0.760990769,0.0,0.0,0.0,0.672362942,0.0,0.0,0.0,0.239283184,0.428048854,-0.325564585,0.085485996,-0.174012687,0.749228517,-0.457483375,-0.841794877,0.369750471,-0.618363087,-0.052121347,0.204006809,0.0,-0.481938065,0.153392668,0.923794862,0.0
me2,0.0,-0.372773087,-0.961590142,-1.518228238,0.617535449,0.0,-1.060479304,0.0,0.0,-0.313936191,0.091145337,0.327822411,-0.826755639,-0.898976474,-0.450328841,-0.952240126,-0.315841499,-0.438675447,-0.042169444,-0.041340182,-1.08448361,0.493182901,-0.585359197,0.439992263,0.014550386,0.0,0.947801637,-0.77656301,0.0,0.0
